first_committed_at	commit	file
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_adj_inverse_1_0_2.json
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_adj_inverse_1_3_3.json
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_ai_plus_be_cubed.json
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_inverse_2_1_2.json
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_inverse_formula_proof.json
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_nonsingular_inverse_1_2_1.json
2026-08-21T20:22:12+02:00	14fab8b618	answer-book/questions/ts_ipe_m1a_mat_saq_trig_product_zero.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_3b_minus_2a.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_a_plus_transpose.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_adj_inverse_2x2.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_det_equals_45.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_det_of_squares.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_equality_2x2.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_equality_3x3.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_find_k_nilpotent.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_i_squared.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_inverse_1_2_3_minus5.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_matrix_addition.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_rank_one.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_rank_two.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_reverse_law_transpose.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_skew_symmetric_find_x.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_solve_for_x.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_symmetric_find_x.json
2026-08-21T20:42:14+02:00	d40f93065f	answer-book/questions/ts_ipe_m1a_mat_vsaq_trace.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_mat_saq_inverse_equals_a_cubed.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_mat_saq_inverse_equals_transpose.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_coplanar_2a_3b_minus_c.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_coplanar_6a_2b_minus_c.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_coplanar_find_lambda.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_coplanar_four_points_abc.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_coplanar_four_points_ijk.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_hexagon_sum.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_lines_intersect_a_plus_2b.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_lines_intersect_minus_4c.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_rhombus_vertices.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_right_angled_triangle.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_collinear_lambda_mu.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_collinear_m_n.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_line_point_parallel.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_line_two_points.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_magnitude_seven.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_opposite_unit_vector.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_plane_origin_points.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_plane_three_points.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_unit_vector_2i_3j_k.json
2026-08-21T22:08:28+02:00	a2ed3816d2	answer-book/questions/ts_ipe_m1a_vec_vsaq_unit_vector_a_plus_b.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_axb_cross_cxd.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_axb_dot_bxc.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_distance_ab_cd.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_a_cross_bxc.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_cube_diagonals.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_tetrahedron_edges.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_tetrahedron_vertices.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_triangle_area.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_unit_normal_plane.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_saq_verify_perpendicular.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_skew_lines_distance.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_triple_product_identity.json
2026-08-21T22:47:55+02:00	e13a6b6e34	answer-book/questions/ts_ipe_m1a_pv_triple_product_pair.json
